producto;presentacion;marca;categoria;catalogo;precio;fechaRegistro;cadenaComercial;giro;nombreComercial;direccion;estado;municipio;latitud;longitud
PRODOLINA;CAJA CON 10 TABLETAS DE 500 MG.;S/M;MEDICAMENTOS;MEDICAMENTOS;34.09;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA;AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS;MÉXICO;ATIZAPAN                                ;NA;NA
CIPROFLOX;CAJA CON 6  CAPSULAS DE  500 MG;LABORATORIOS SENOSIAIN, S.A. DE C.V.;MEDICAMENTOS;MEDICAMENTOS;147,00;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA;AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS;MÉXICO;ATIZAPAN                                ;NA;NA
SERVILLETAS DE PAPEL BLANCO;PAQUETE 250 HOJAS. BASICO;CHARMIN;ARTS. DE PAPEL P/HIGIENE PERSONAL;BASICOS;13.2;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA;AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS;MÉXICO;ATIZAPAN                                ;NA;NA
SERVILLETAS DE PAPEL BLANCO;PAQUETE 250 HOJAS;PETALO;ARTS. DE PAPEL P/HIGIENE PERSONAL;BASICOS;14.1;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA;AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS;MÉXICO;ATIZAPAN                                ;NA;NA
PAPEL HIGIENICO;PAQUETE 12 ROLLOS. 200 HOJAS DOBLES. LINEA DORADA;KLEENEX. COTTONELLE;ARTS. DE PAPEL P/HIGIENE PERSONAL;BASICOS;69,00;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA;AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS;MÉXICO;ATIZAPAN                                ;NA;NA
SHAMPOO;BOTELLA 400 ML. REPARACION COMPLETA;PALMOLIVE OPTIMS;ARTS. PARA EL CUIDADO PERSONAL;BASICOS;37.9;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA;AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS;MÉXICO;ATIZAPAN                                ;NA;NA
TELEVISORES;KDL-40EX400. COLOR 40 PLGS. PANTALLA CRISTAL LIQUIDO;SONY. BRAVIA;APARATOS ELECTRONICOS;ELECTRODOMESTICOS;10998,00;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA;AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS;MÉXICO;ATIZAPAN                                ;NA;NA
HORNO DE MICROONDAS;MR123C. 1.4 PIES CUBICOS;SAMSUNG;APARATOS ELECTRICOS;ELECTRODOMESTICOS;1618,00;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA;AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS;MÉXICO;ATIZAPAN                                ;NA;NA
ACEITUNA. GORDAL;1 KG. GRANEL. ACEITUNA. GORDAL;S/M;PRODUCTOS DE TEMPORADA (NAVIDEÐOS);BASICOS;105.14;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA;AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS;MÉXICO;ATIZAPAN                                ;NA;NA
ACEITE DE OLIVA;BOTELLA 500 ML. (ETIQ. AMARILLA).;BORGES;PRODUCTOS DE TEMPORADA (NAVIDEÐOS);BASICOS;58,00;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA;AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS;MÉXICO;ATIZAPAN                                ;NA;NA
ACEITE DE OLIVA;BOTELLA 500 ML. EXTRA VIRGEN (ETIQ. VERDE).;BORGES;PRODUCTOS DE TEMPORADA (NAVIDEÐOS);BASICOS;60,00;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA;AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS;MÉXICO;ATIZAPAN                                ;NA;NA
TOALLITA HUMEDA LIMPIADORA;PAQUETE 70 PIEZAS. SUPREME. PURE & NATURAL;HUGGIES;ARTS. DE PAPEL P/HIGIENE PERSONAL;BASICOS;36,00;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA;AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS;MÉXICO;ATIZAPAN                                ;NA;NA
TOALLITA HUMEDA LIMPIADORA;PAQUETE 72 PIEZAS BABY SKINCARE;JOHNSONS;ARTS. DE PAPEL P/HIGIENE PERSONAL;BASICOS;42,00;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA;AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS;MÉXICO;ATIZAPAN                                ;NA;NA
TOALLA FEMENINA;BOLSA 14 PIEZAS. CON MANZANILLA. FLUJO MODERADO (SIN ALAS);NATURELLA;ARTS. DE PAPEL P/HIGIENE PERSONAL;BASICOS;15,00;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA;AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS;MÉXICO;ATIZAPAN                                ;NA;NA
SAL MOLIDA DE MESA;BOTE 1 KG.;ELEFANTE;CONDIMENTOS;MERCADOS;8.4;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA;AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS;MÉXICO;ATIZAPAN                                ;NA;NA
