producto;presentacion;marca;categoria;catalogo;precio;fechaRegistro;cadenaComercial;giro;nombreComercial;direccion;estado;municipio;latitud;longitud
ACEITE;BOTELLA 1 LT. MIXTO;1/02/2003;ACEITES Y GRASAS VEG. COMESTIBLES;BASICOS;23,00;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
HUEVO;PAQUETE CON 12 ROJO;SAN JUAN;HUEVO;BASICOS;19.17;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
PLATANO;1 KG. TABASCO/CHIAPAS;S/M;FRUTAS FRESCAS;FRUTAS Y LEGUMBRES;9.2;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
MELON;1 KG. VALENCIANO;S/M;FRUTAS FRESCAS;FRUTAS Y LEGUMBRES;13.5;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
MANZANA;1 KG. STARKING AMERICANA;S/M;FRUTAS FRESCAS;FRUTAS Y LEGUMBRES;29.9;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
MANZANA;1 KG. GOLDEN;S/M;FRUTAS FRESCAS;FRUTAS Y LEGUMBRES;29.9;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
MANGO;1 KG. MANILA;S/M;FRUTAS FRESCAS;FRUTAS Y LEGUMBRES;49.9;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
MARGARINA;CAJA PLASTICO 400 GR. SIN SAL;BECEL;ACEITES Y GRASAS VEG. COMESTIBLES;BASICOS;37.6;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
COLIFLOR;PZA.;S/M;HORTALIZAS FRESCAS;FRUTAS Y LEGUMBRES;22.4;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
CHICHAROS;1 KG. EN VAINA;S/M;HORTALIZAS FRESCAS;FRUTAS Y LEGUMBRES;34.9;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
CHAYOTE;1 KG. SIN ESPINAS;S/M;HORTALIZAS FRESCAS;FRUTAS Y LEGUMBRES;15.9;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
CEBOLLA;1 KG. BLANCA SIN RABO;S/M;HORTALIZAS FRESCAS;FRUTAS Y LEGUMBRES;12.9;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
APIO;1 KG.;S/M;HORTALIZAS FRESCAS;FRUTAS Y LEGUMBRES;8.9;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
ACELGA;MANOJO;S/M;HORTALIZAS FRESCAS;FRUTAS Y LEGUMBRES;6,00;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
ZANAHORIA;1 KG. MEDIANA;S/M;HORTALIZAS FRESCAS;FRUTAS Y LEGUMBRES;12.9;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
TOMATE;1 KG. VERDE;S/M;HORTALIZAS FRESCAS;FRUTAS Y LEGUMBRES;15.7;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
LECHUGA;PZA. OREJONA;S/M;HORTALIZAS FRESCAS;FRUTAS Y LEGUMBRES;9.5;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
CHAMPIÑON;1 KG.;S/M;HORTALIZAS FRESCAS;FRUTAS Y LEGUMBRES;51.5;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
ELOTE;LATA 220 GR. EN GRANO;HERDEZ;HORTALIZAS FRESCAS;MERCADOS;8.8;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
ELOTE;LATA 225 GR. EN GRANO;DEL MONTE;HORTALIZAS FRESCAS;BASICOS;7.4;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
PASA (UVA PASA);1 KG. GRANEL;S/M;CHOCOLATES Y GOLOSINAS;BASICOS;41.5;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
LENTEJA;BOLSA 500 GR.;SAN LAZARO;LEGUMBRES SECAS;BASICOS;13.97;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
HABA;BOLSA 500 GR. PELADA;SAN LAZARO;LEGUMBRES SECAS;BASICOS;31.62;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
FRIJOL;BOLSA 900 GR. NEGRO;VERDE VALLE;LEGUMBRES SECAS;BASICOS;16.9;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
FRIJOL;BOLSA 1 KG. FLOR DE MAYO;VERDE VALLE;LEGUMBRES SECAS;BASICOS;20.89;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
CHILE;BOLSA 100 GR. GUAJILLO;VERDE VALLE;LEGUMBRES SECAS;BASICOS;19.9;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
CHICHAROS EN LATA;LATA 215 GR.;HERDEZ;FRUTAS Y LEGUMBRES PROCESADAS;BASICOS;5.9;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
CHICHAROS EN LATA;LATA 200 GR.;DEL MONTE;FRUTAS Y LEGUMBRES PROCESADAS;MERCADOS;5.42;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
CHILES EN LATA;LATA 380 GR. JALAPENOS RAJAS;LA COSTENA;FRUTAS Y LEGUMBRES PROCESADAS;BASICOS;8.5;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
CHILES EN LATA;LATA 215 GR. CHIPOTLES ADOBADOS;SAN MARCOS;FRUTAS Y LEGUMBRES PROCESADAS;BASICOS;11.7;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
CHILES EN LATA;LATA 105 GR. JALAPENOS RAJAS;LA COSTENA;FRUTAS Y LEGUMBRES PROCESADAS;BASICOS;3.3;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
CHILES EN LATA;LATA 220 GR. SERRANO;LA COSTENA;FRUTAS Y LEGUMBRES PROCESADAS;BASICOS;5.9;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
AZUCAR;BOLSA PLASTICO 2 KG. REFINADA;S/M;AZUCAR;BASICOS;40,00;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
PIÑA EN ALMIBAR;LATA 800 GR. TROCITOS;LA  COSTENA;FRUTAS Y LEGUMBRES PROCESADAS;BASICOS;25,00;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
PIÑA EN ALMIBAR;LATA 800 GR. REBANADA;HERDEZ;FRUTAS Y LEGUMBRES PROCESADAS;BASICOS;27.27;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
MERMELADA;FRASCO 500 GR. FRESA;MC CORMICK;FRUTAS Y LEGUMBRES PROCESADAS;BASICOS;25.19;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
MERMELADA;FRASCO 270 GR. FRESA;LA COSTENA;FRUTAS Y LEGUMBRES PROCESADAS;BASICOS;15.79;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
FRIJOLES;LATA 430 GR. REFRITOS. CON CHIPOTLE;SAN MARCOS;FRUTAS Y LEGUMBRES PROCESADAS;BASICOS;7.4;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
MAYONESA;FRASCO 190 GR. CON JUGO DE LIMONES;MC CORMICK;CONDIMENTOS;MERCADOS;11.82;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
CONCENTRADO DE POLLO;CAJA 132 GR. 12 CUBOS CALDO;KNORR;CONDIMENTOS;BASICOS;16.3;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
AGUA SIN GAS;BOTELLA 1.5 LT. JAMAICA;CIEL +;REFRESCOS ENVASADOS;BASICOS;11.16;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
AGUA CON GAS;BOTELLA 2 LT.;CIEL;REFRESCOS ENVASADOS;BASICOS;10.78;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
CAFE TOSTADO Y MOLIDO;BOLSA 454 GR.;INTERNACIONAL. AMERICANO;CAFE;BASICOS;58.5;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
CAFE SOLUBLE;FRASCO 100 GR.;NESCAFE DOLCA;CAFE;MERCADOS;28.45;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
CHOCOLATE EN TABLILLAS;PAQUETE 540 GR. CON 6 TABLILLAS DE 90 GR.;IBARRA;CHOCOLATES Y GOLOSINAS;MERCADOS;42.65;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
VINAGRE;BOTELLA 750 ML. DE MANZANA;BARRILITO;CONDIMENTOS;BASICOS;14.85;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
VINAGRE;BOTELLA 750 ML. BLANCO ALCOHOL CANA;BARRILITO;CONDIMENTOS;MERCADOS;9.9;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
AJONJOLI;SOBRE 100 GR.;SAN LAZARO;CONDIMENTOS;BASICOS;8.24;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
SALSA CATSUP;BOTELLA 390 GR. PLASTICO;DEL MONTE;CONDIMENTOS;MERCADOS;8.3;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
MAYONESA;FRASCO 390 GR. ADEREZO SIN COLESTEROL;HELLMANN'S. MAYO;CONDIMENTOS;BASICOS;22.26;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
PAÑALES DESECHABLES;PAQUETE 40 PIEZAS. SUAVELASTIC. MAX. GRANDE;KLEEN BEBE;ARTS. DE PAPEL P/HIGIENE PERSONAL;BASICOS;132.9;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
ACONDICIONADOR / ENJUAGUE;BOTELLA 384 ML. ACEITE DE OLIVA;PERT;ARTS. PARA EL CUIDADO PERSONAL;BASICOS;36,00;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
SHAMPOO;BOTELLA 355 ML. HIDRADISIACO;HERBAL ESSENCES;ARTS. PARA EL CUIDADO PERSONAL;BASICOS;39.6;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
SHAMPOO;BOTELLA 900 ML. CLASICO;VANART;ARTS. PARA EL CUIDADO PERSONAL;MERCADOS;23,00;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
JARABE P/PREPARAR BEBIDAS;BOTELLA 750 ML. HORCHATA;TUCAN;CHOCOLATES Y GOLOSINAS;BASICOS;26.2;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
MIEL DE ABEJA;BOTELLA 430 GR.;VITA REAL;CHOCOLATES Y GOLOSINAS;BASICOS;46.5;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
DESODORANTE;BARRA 50 GR. (TAPA AZUL). ORIGINAL. ANTITRANSPIRANTE;DOVE;ARTS. PARA EL CUIDADO PERSONAL;BASICOS;35.64;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
ALCAPARRA;FRASCO 100 GR.;EL SERPIS;PRODUCTOS DE TEMPORADA (NAVIDEÐOS);BASICOS;29.6;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
ACEITUNA;FRASCO 240 GR. MANZANILLA;BUFALO;PRODUCTOS DE TEMPORADA (NAVIDEÐOS);BASICOS;22.71;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
TOALLA DE PAPEL;PAQUETE 2 ROLLOS 60 HOJAS DOBLES;PÉTALO. VAQUITA Ó GRANJA;ARTS. DE PAPEL P/HIGIENE PERSONAL;BASICOS;24,00;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
TOALLA FEMENINA;BOLSA 12 PIEZAS. NORMAL. NOCTURNA. FLEXI ALAS;ALWAYS;ARTS. DE PAPEL P/HIGIENE PERSONAL;BASICOS;27.65;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
TOALLA FEMENINA;BOLSA 14 PIEZAS. NORMAL. SIN ALAS;ALWAYS;ARTS. DE PAPEL P/HIGIENE PERSONAL;BASICOS;19.65;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
DETERGENTE P/TRASTES;BOLSA 900 GR. POLVO. (VERDE);SALVO;DETERGENTES Y PRODUCTOS SIMILARES;BASICOS;16.7;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
CREMA SOLIDA;FRASCO 200 ML.;ATRIX. INTENSIVE;ARTS. PARA EL CUIDADO PERSONAL;BASICOS;49.9;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
REPUESTOS DE NAVAJAS;ESTUCHE C/4. VENUS;GILLETTE;ARTS. PARA EL CUIDADO PERSONAL;BASICOS;121.9;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
JABON DE TOCADOR;CAJA CON BARRA 75 GR. HIPOALERGENICO NEUTRO PARA BEBE;JOHNSON S BABY;ARTS. PARA EL CUIDADO PERSONAL;BASICOS;11.3;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL INSURGENTES;PERPETUA NO. 35 ESQ. INSURGENTES SUR;DISTRITO FEDERAL;BENITO JUAREZ                           ;19.366.903;-99.181.344
